년도,월,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구,타시도
2024,7,"2,681 ","2,832 ","5,162 ","2,012 ","2,630 ","2,522 ","1,444 ","1,952 ","1,286 ","1,435 ","1,478 ","3,219 ","1,874 ","5,772 ","2,432 ","7,787 ","1,677 ","1,391 ","4,123 ","1,805 ","8,137 ","9,475 ","7,178 ","3,733 ","2,190 ",0 
2024,8,"2,844 ","2,767 ","6,243 ","2,291 ","2,804 ","2,714 ","1,500 ","2,155 ","1,326 ","2,023 ","1,781 ","3,077 ","1,983 ","6,202 ","2,506 ","8,287 ","1,605 ","1,391 ","3,957 ","1,779 ","5,261 ","5,040 ","7,452 ","8,406 ","2,250 ",0 
2024,9,"3,167 ","2,861 ","5,382 ","2,578 ","2,950 ","2,668 ","1,791 ","2,224 ","1,409 ","1,865 ","1,777 ","3,169 ","2,048 ","6,105 ","2,688 ","7,885 ","1,792 ","1,232 ","3,820 ","2,280 ","4,670 ","10,675 ","9,832 ","3,556 ","2,338 ",0 
2024,10,"3,240 ","2,904 ","4,894 ","2,271 ","16,019 ","3,076 ","1,654 ","2,103 ","1,600 ","1,959 ","1,742 ","2,680 ","2,252 ","6,938 ","2,326 ","8,083 ","2,011 ","1,304 ","3,899 ","1,682 ","4,222 ","5,919 ","7,895 ","4,231 ","2,487 ",0 
2024,11,"2,609 ","2,915 ","4,721 ","2,226 ","2,421 ","3,059 ","1,663 ","1,929 ","1,825 ","1,164 ","1,534 ","2,517 ","2,050 ","7,399 ","1,912 ","6,765 ","1,553 ","1,183 ","3,258 ","1,539 ","3,681 ","5,998 ","5,827 ","3,175 ","2,396 ",0 
2024,12,"2,366 ","2,248 ","3,925 ","1,674 ","1,861 ","2,199 ","1,573 ","1,880 ",896 ,"1,013 ","1,357 ","1,690 ","1,461 ","3,604 ","1,946 ","4,976 ","1,424 ",874 ,"2,968 ","1,407 ","3,088 ","4,717 ","4,068 ","2,443 ","1,815 ",1 
2025,1,"2,059 ","2,007 ","3,149 ","1,333 ","1,726 ","2,219 ","1,753 ","1,659 ",787 ,967 ,"1,138 ","1,736 ","1,193 ","3,069 ","1,734 ","4,680 ","1,173 ",980 ,"2,663 ","1,422 ","2,735 ","4,410 ","3,661 ","2,297 ","1,767 ",0 
2025,2,"1,465 ","2,206 ","2,847 ","1,289 ","1,614 ","2,120 ","1,235 ","2,464 ","1,120 ",845 ,"1,422 ","1,648 ","1,164 ","3,470 ","1,646 ","4,492 ","1,349 ",807 ,"2,524 ","1,319 ","2,913 ","4,322 ","4,661 ","2,411 ","1,929 ",0 
2025,3,"2,483 ","1,927 ","3,880 ","1,653 ","1,979 ","2,866 ","1,509 ","2,914 ","1,224 ","1,170 ","1,726 ","2,214 ","1,284 ","4,275 ","2,023 ","5,627 ","1,690 ","1,077 ","3,360 ","1,827 ","3,593 ","5,673 ","5,626 ","2,843 ","2,372 ",0 
2025,4,"2,435 ","2,347 ","3,676 ","1,848 ","26,100 ","2,632 ","1,556 ","2,960 ","1,343 ","1,555 ","1,968 ","3,168 ","1,458 ","5,046 ","2,189 ","6,241 ","1,647 ","1,036 ","3,588 ","1,903 ","3,904 ","5,891 ","6,521 ","3,270 ","2,179 ",0 
2025,5,"2,997 ","2,346 ","3,668 ","1,811 ","2,594 ","2,593 ","1,826 ","3,320 ","1,509 ","1,982 ","2,130 ","2,966 ","1,473 ","4,886 ","2,310 ","7,463 ","2,216 ","1,175 ","3,605 ","2,211 ","3,898 ","5,296 ","6,007 ","3,717 ","2,168 ",0 
2025,6,"2,405 ","2,805 ","4,245 ","1,633 ","2,527 ","2,632 ","1,860 ","2,735 ","1,909 ","1,416 ","2,187 ","3,385 ","1,676 ","4,895 ","2,157 ","7,408 ","2,150 ","1,143 ","3,733 ","2,056 ","3,888 ","6,178 ","5,854 ","3,395 ","2,037 ",1 
2025,7,"2,483 ","2,361 ","4,628 ","1,552 ","2,243 ","3,183 ","1,652 ","2,005 ","1,544 ","1,270 ","2,506 ","2,892 ","1,544 ","4,420 ","1,981 ","6,789 ","1,851 ","1,085 ","3,905 ","2,038 ","5,245 ","4,865 ","5,537 ","3,119 ","2,101 ",0 
2025,8,"2,475 ","2,641 ","5,863 ","1,649 ","2,665 ","3,638 ","1,656 ","2,636 ","1,570 ","1,167 ","2,212 ","3,119 ","1,720 ","4,540 ","2,341 ","7,687 ","1,776 ","1,365 ","4,213 ","3,417 ","7,028 ","5,816 ","6,704 ","3,607 ","2,398 ",0 
2025,9,"2,159 ","3,074 ","4,998 ","1,523 ","2,567 ","3,459 ","1,889 ","2,753 ","2,037 ","1,068 ","2,143 ","3,040 ","1,471 ","4,045 ","2,120 ","7,176 ","1,951 ","1,067 ","3,661 ","2,388 ","5,292 ","5,110 ","6,266 ","3,383 ","2,115 ",0 
2025,10,"2,726 ","2,692 ","4,352 ","1,719 ","13,638 ","2,638 ","1,886 ","2,220 ","2,192 ","1,769 ","2,299 ","2,917 ","1,566 ","3,452 ","2,475 ","6,782 ","2,172 ","1,680 ","3,962 ","2,132 ","4,233 ","6,176 ","4,944 ","3,702 ","2,190 ",0 
2025,11,"2,595 ","2,945 ","3,933 ","1,805 ","15,196 ","3,575 ","1,823 ","2,323 ","2,441 ","1,158 ","2,682 ","3,256 ","1,482 ","3,840 ","2,600 ","6,943 ","1,611 ","1,626 ","4,455 ","2,100 ","4,229 ","6,941 ","5,660 ","3,762 ","2,645 ",1 
2025,12,"1,878 ","2,301 ","3,839 ","1,543 ","2,177 ","3,655 ","1,994 ","1,776 ","1,331 ","1,496 ","2,399 ","2,268 ","1,330 ","3,752 ","2,158 ","6,846 ","1,760 ","1,334 ","3,441 ","2,629 ","4,400 ","5,961 ","4,354 ","3,157 ","2,348 ",0 
